escu_detection,mitre_attack
"ESCU - Linux Gdrive Binary Activity - Rule","T1567"
"ESCU - Linux Gem Privilege Escalation - Rule","T1548.003"
"ESCU - Linux GNU Awk Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Hardware Addition SwapOff - Rule","T1200"
"ESCU - Linux High Frequency Of File Deletion In Boot Folder - Rule","T1070.004|T1485"
"ESCU - Linux High Frequency Of File Deletion In Etc Folder - Rule","T1070.004|T1485"
"ESCU - Linux Impair Defenses Process Kill - Rule","T1562.001"
"ESCU - Linux Indicator Removal Clear Cache - Rule","T1070"
"ESCU - Linux Indicator Removal Service File Deletion - Rule","T1070.004"
"ESCU - Linux Ingress Tool Transfer Hunting - Rule","T1105"
"ESCU - Linux Ingress Tool Transfer with Curl - Rule","T1105"
"ESCU - Linux Insert Kernel Module Using Insmod Utility - Rule","T1547.006"
"ESCU - Linux Install Kernel Module Using Modprobe Utility - Rule","T1547.006"
"ESCU - Linux Iptables Firewall Modification - Rule","T1562.004"
"ESCU - Linux Kernel Module Enumeration - Rule","T1014|T1082"
"ESCU - Linux Kworker Process In Writable Process Path - Rule","T1036.004"
"ESCU - Linux Magic SysRq Key Abuse - Rule","T1059.004|T1489|T1499|T1529"
"ESCU - Linux Make Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Medusa Rootkit - Rule","T1014|T1589.001"
"ESCU - Linux MySQL Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Ngrok Reverse Proxy Usage - Rule","T1090|T1102|T1572"
"ESCU - Linux Node Privilege Escalation - Rule","T1548.003"
"ESCU - Linux NOPASSWD Entry In Sudoers File - Rule","T1548.003"
"ESCU - Linux Obfuscated Files or Information Base64 Decode - Rule","T1027"
"ESCU - Linux Octave Privilege Escalation - Rule","T1548.003"
"ESCU - Linux OpenVPN Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Persistence and Privilege Escalation Risk Behavior - Rule","T1548"
"ESCU - Linux PHP Privilege Escalation - Rule","T1548.003"
"ESCU - Linux pkexec Privilege Escalation - Rule","T1068"
"ESCU - Linux Possible Access Or Modification Of sshd Config File - Rule","T1098.004"
"ESCU - Linux Possible Access To Credential Files - Rule","T1003.008"
"ESCU - Linux Possible Access To Sudoers File - Rule","T1548.003"
"ESCU - Linux Possible Append Command To At Allow Config File - Rule","T1053.002"
"ESCU - Linux Possible Append Command To Profile Config File - Rule","T1546.004"
"ESCU - Linux Possible Append Cronjob Entry on Existing Cronjob File - Rule","T1053.003"
"ESCU - Linux Possible Cronjob Modification With Editor - Rule","T1053.003"
"ESCU - Linux Possible Ssh Key File Creation - Rule","T1098.004"
"ESCU - Linux Preload Hijack Library Calls - Rule","T1574.006"
"ESCU - Linux Proxy Socks Curl - Rule","T1090|T1095"
"ESCU - Linux Puppet Privilege Escalation - Rule","T1548.003"
"ESCU - Linux RPM Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Ruby Privilege Escalation - Rule","T1548.003"
"ESCU - Linux Service File Created In Systemd Directory - Rule","T1053.006"
"ESCU - Linux Service Restarted - Rule","T1053.006"
"ESCU - Linux Service Started Or Enabled - Rule","T1053.006"
"ESCU - Linux Setuid Using Chmod Utility - Rule","T1548.001"
"ESCU - Linux Setuid Using Setcap Utility - Rule","T1548.001"
"ESCU - Linux Shred Overwrite Command - Rule","T1485"
"ESCU - Linux Sqlite3 Privilege Escalation - Rule","T1548.003"
"ESCU - Linux SSH Authorized Keys Modification - Rule","T1098.004"
"ESCU - Linux SSH Remote Services Script Execute - Rule","T1021.004"
"ESCU - Linux Stdout Redirection To Dev Null File - Rule","T1562.004"
"ESCU - Linux Stop Services - Rule","T1489"
"ESCU - Linux Sudo OR Su Execution - Rule","T1548.003"
"ESCU - Linux Sudoers Tmp File Creation - Rule","T1548.003"
"ESCU - Linux Suspicious React or Next.js Child Process - Rule","T1059.004|T1190"
"ESCU - Linux System Network Discovery - Rule","T1016"
"ESCU - Linux System Reboot Via System Request Key - Rule","T1529"
"ESCU - Linux Telnet Authentication Bypass - Rule","T1548"
"ESCU - Linux Unix Shell Enable All SysRq Functions - Rule","T1059.004"
"ESCU - Linux Visudo Utility Execution - Rule","T1548.003"
"ESCU - Living Off The Land Detection - Rule","T1059|T1105|T1133|T1190"
"ESCU - LLM Model File Creation - Rule","T1543"
"ESCU - Loading Of Dynwrapx Module - Rule","T1055.001"
"ESCU - Local Account Discovery With Wmic - Rule","T1087.001"
"ESCU - Local LLM Framework DNS Query - Rule","T1590"
"ESCU - Log4Shell CVE-2021-44228 Exploitation - Rule","T1059|T1105|T1133|T1190"
"ESCU - Logon Script Event Trigger Execution - Rule","T1037.001"
"ESCU - LOLBAS With Network Traffic - Rule","T1105|T1218|T1567"
"ESCU - MacOS AMOS Stealer - Virtual Machine Check Activity - Rule","T1059.002"
"ESCU - MacOS LOLbin - Rule","T1059.004"
"ESCU - MacOS plutil - Rule","T1647"
"ESCU - Mailsniper Invoke functions - Rule","T1114.001"
"ESCU - Malicious InProcServer32 Modification - Rule","T1112|T1218.010"
"ESCU - Malicious Powershell Executed As A Service - Rule","T1569.002"
"ESCU - Malicious PowerShell Process - Encoded Command - Rule","T1027"
"ESCU - Malicious PowerShell Process - Execution Policy Bypass - Rule","T1059.001"
"ESCU - Malicious PowerShell Process With Obfuscation Techniques - Rule","T1059.001"
"ESCU - Mimikatz PassTheTicket CommandLine Parameters - Rule","T1550.003"
"ESCU - Mmc LOLBAS Execution Process Spawn - Rule","T1021.003|T1218.014"
"ESCU - Modification Of Wallpaper - Rule","T1491"
"ESCU - Modify ACL permission To Files Or Folder - Rule","T1222"
"ESCU - Monitor Registry Keys for Print Monitors - Rule","T1547.010"
"ESCU - MOVEit Certificate Store Access Failure - Rule","T1190"
"ESCU - MOVEit Empty Key Fingerprint Authentication Attempt - Rule","T1190"
"ESCU - MS Exchange Mailbox Replication service writing Active Server Pages - Rule","T1133|T1190|T1505.003"
"ESCU - MS Scripting Process Loading Ldap Module - Rule","T1059.007"
"ESCU - MS Scripting Process Loading WMI Module - Rule","T1059.007"
"ESCU - MSBuild Suspicious Spawned By Script Process - Rule","T1127.001"
"ESCU - Mshta spawning Rundll32 OR Regsvr32 Process - Rule","T1218.005"
"ESCU - MSI Module Loaded by Non-System Binary - Rule","T1574.001"
"ESCU - Msmpeng Application DLL Side Loading - Rule","T1574.001"
"ESCU - NET Profiler UAC bypass - Rule","T1548.002"
"ESCU - Network Connection Discovery With Arp - Rule","T1049"
"ESCU - Network Connection Discovery With Netstat - Rule","T1049"
"ESCU - Network Discovery Using Route Windows App - Rule","T1016.001"
"ESCU - Network Share Discovery Via Dir Command - Rule","T1135"
"ESCU - Network Traffic to Active Directory Web Services Protocol - Rule","T1069.001|T1069.002|T1087.001|T1087.002|T1482"
"ESCU - Nishang PowershellTCPOneLine - Rule","T1059.001"
"ESCU - NLTest Domain Trust Discovery - Rule","T1482"
"ESCU - Non Chrome Process Accessing Chrome Default Dir - Rule","T1555.003"
"ESCU - Non Firefox Process Access Firefox Profile Dir - Rule","T1555.003"
"ESCU - Notepad with no Command Line Arguments - Rule","T1055"
"ESCU - Ntdsutil Export NTDS - Rule","T1003.003"
"ESCU - Outbound Network Connection from Java Using Default Ports - Rule","T1133|T1190"
"ESCU - Overwriting Accessibility Binaries - Rule","T1546.008"
"ESCU - PaperCut NG Suspicious Behavior Debug Log - Rule","T1133|T1190"
"ESCU - Permission Modification using Takeown App - Rule","T1222"
"ESCU - PetitPotam Network Share Access Request - Rule","T1187"
"ESCU - PetitPotam Suspicious Kerberos TGT Request - Rule","T1003"
"ESCU - Ping Sleep Batch Command - Rule","T1497.003"
"ESCU - Possible Browser Pass View Parameter - Rule","T1555.003"
"ESCU - Possible Lateral Movement PowerShell Spawn - Rule","T1021.003|T1021.006|T1047|T1053.005|T1059.001|T1218.014|T1543.003"
"ESCU - Potential password in username - Rule","T1078.003|T1552.001"
"ESCU - Potential System Network Configuration Discovery Activity - Rule","T1016"
"ESCU - Potential Telegram API Request Via CommandLine - Rule","T1041|T1102.002"
"ESCU - Potentially malicious code on commandline - Rule","T1059.003"
"ESCU - PowerShell 4104 Hunting - Rule","T1059.001"
"ESCU - PowerShell - Connect To Internet With Hidden Window - Rule","T1059.001"
"ESCU - Powershell COM Hijacking InprocServer32 Modification - Rule","T1059.001|T1546.015"
"ESCU - Powershell Creating Thread Mutex - Rule","T1027.005|T1059.001"
"ESCU - Powershell Disable Security Monitoring - Rule","T1562.001"
"ESCU - PowerShell Domain Enumeration - Rule","T1059.001"
"ESCU - PowerShell Enable PowerShell Remoting - Rule","T1059.001"
"ESCU - Powershell Enable SMB1Protocol Feature - Rule","T1027.005"
"ESCU - Powershell Execute COM Object - Rule","T1059.001|T1546.015"
"ESCU - Powershell Fileless Process Injection via GetProcAddress - Rule","T1055|T1059.001"
"ESCU - Powershell Fileless Script Contains Base64 Encoded Content - Rule","T1027|T1059.001"
"ESCU - PowerShell Get LocalGroup Discovery - Rule","T1069.001"
"ESCU - Powershell Get LocalGroup Discovery with Script Block Logging - Rule","T1069.001"
"ESCU - PowerShell Invoke CIMMethod CIMSession - Rule","T1047"
"ESCU - PowerShell Invoke WmiExec Usage - Rule","T1047"
"ESCU - Powershell Load Module in Meterpreter - Rule","T1059.001"
"ESCU - PowerShell Loading DotNET into Memory via Reflection - Rule","T1059.001"
"ESCU - Powershell Processing Stream Of Data - Rule","T1059.001"
"ESCU - Powershell Remote Services Add TrustedHost - Rule","T1021.006"
"ESCU - Powershell Remote Thread To Known Windows Process - Rule","T1055"
"ESCU - Powershell Remove Windows Defender Directory - Rule","T1562.001"
"ESCU - PowerShell Script Block With URL Chain - Rule","T1059.001|T1105"
"ESCU - PowerShell Start-BitsTransfer - Rule","T1197"
"ESCU - PowerShell Start or Stop Service - Rule","T1059.001"
"ESCU - Powershell Using memory As Backing Store - Rule","T1059.001"
"ESCU - PowerShell WebRequest Using Memory Stream - Rule","T1027.011|T1059.001|T1105"
"ESCU - Powershell Windows Defender Exclusion Commands - Rule","T1562.001"
"ESCU - Prevent Automatic Repair Mode using Bcdedit - Rule","T1490"
"ESCU - Print Processor Registry Autostart - Rule","T1547.012"
"ESCU - Print Spooler Adding A Printer Driver - Rule","T1547.012"
"ESCU - Print Spooler Failed to Load a Plug-in - Rule","T1547.012"
"ESCU - Process Creating LNK file in Suspicious Location - Rule","T1566.002"
"ESCU - Process Deleting Its Process File Path - Rule","T1070"
"ESCU - Process Execution via WMI - Rule","T1047"
"ESCU - Process Kill Base On File Path - Rule","T1562.001"
"ESCU - Process Writing DynamicWrapperX - Rule","T1059|T1559.001"
"ESCU - Processes launching netsh - Rule","T1562.004"
"ESCU - Randomly Generated Scheduled Task Name - Rule","T1053.005"
"ESCU - Randomly Generated Windows Service Name - Rule","T1543.003"
"ESCU - Ransomware Notes bulk creation - Rule","T1486"
"ESCU - Recon AVProduct Through Pwh or WMI - Rule","T1592"
"ESCU - Recon Using WMI Class - Rule","T1059.001|T1592"
"ESCU - Recursive Delete of Directory In Batch CMD - Rule","T1070.004"
"ESCU - Reg exe Manipulating Windows Services Registry Keys - Rule","T1574.011"
"ESCU - Registry Keys for Creating SHIM Databases - Rule","T1546.011"
"ESCU - Registry Keys Used For Persistence - Rule","T1547.001"
"ESCU - Registry Keys Used For Privilege Escalation - Rule","T1546.012"
"ESCU - Regsvr32 Silent and Install Param Dll Loading - Rule","T1218.010"
"ESCU - Regsvr32 with Known Silent Switch Cmdline - Rule","T1218.010"
"ESCU - Remcos client registry install entry - Rule","T1112"
"ESCU - Remcos RAT File Creation in Remcos Folder - Rule","T1113"
"ESCU - Remote Desktop Process Running On System - Rule","T1021.001"
"ESCU - Remote Process Instantiation via DCOM and PowerShell - Rule","T1021.003"
"ESCU - Remote Process Instantiation via DCOM and PowerShell Script Block - Rule","T1021.003"
"ESCU - Remote Process Instantiation via WinRM and PowerShell - Rule","T1021.006"
"ESCU - Remote Process Instantiation via WinRM and PowerShell Script Block - Rule","T1021.006"
"ESCU - Remote Process Instantiation via WinRM and Winrs - Rule","T1021.006"
"ESCU - Remote Process Instantiation via WMI - Rule","T1047"
"ESCU - Remote Process Instantiation via WMI and PowerShell - Rule","T1047"
"ESCU - Remote Process Instantiation via WMI and PowerShell Script Block - Rule","T1047"
"ESCU - Remote System Discovery with Adsisearcher - Rule","T1018"
"ESCU - Remote System Discovery with Dsquery - Rule","T1018"
"ESCU - Remote System Discovery with Wmic - Rule","T1018"
"ESCU - Remote WMI Command Attempt - Rule","T1047"
"ESCU - Resize ShadowStorage volume - Rule","T1490"
"ESCU - Revil Common Exec Parameter - Rule","T1204"
"ESCU - Revil Registry Entry - Rule","T1112"
"ESCU - Rubeus Command Line Parameters - Rule","T1550.003|T1558.003|T1558.004"
"ESCU - Rubeus Kerberos Ticket Exports Through Winlogon Access - Rule","T1550.003"
"ESCU - Runas Execution in CommandLine - Rule","T1134.001"
"ESCU - Rundll32 Control RunDLL Hunt - Rule","T1218.011"
"ESCU - Rundll32 Control RunDLL World Writable Directory - Rule","T1218.011"
"ESCU - Rundll32 Create Remote Thread To A Process - Rule","T1055"
"ESCU - Rundll32 CreateRemoteThread In Browser - Rule","T1055"
"ESCU - Rundll32 LockWorkStation - Rule","T1218.011"
"ESCU - Rundll32 Process Creating Exe Dll Files - Rule","T1218.011"
"ESCU - Rundll32 Shimcache Flush - Rule","T1112"
"ESCU - Rundll32 with no Command Line Arguments with Network - Rule","T1218.011"
"ESCU - RunDLL Loading DLL By Ordinal - Rule","T1218.011"
"ESCU - Ryuk Test Files Detected - Rule","T1486"
"ESCU - Ryuk Wake on LAN Command - Rule","T1059.003"
"ESCU - SAM Database File Access Attempt - Rule","T1003.002"
"ESCU - Samsam Test File Write - Rule","T1486"
"ESCU - Sc exe Manipulating Windows Services - Rule","T1543.003"
"ESCU - SchCache Change By App Connect And Create ADSI Object - Rule","T1087.002"
"ESCU - Schedule Task with HTTP Command Arguments - Rule","T1053"
"ESCU - Schedule Task with Rundll32 Command Trigger - Rule","T1053"
"ESCU - Scheduled Task Creation on Remote Endpoint using At - Rule","T1053.002"
"ESCU - Scheduled Task Deleted Or Created via CMD - Rule","T1053.005"
"ESCU - Scheduled Task Initiation on Remote Endpoint - Rule","T1053.005"
"ESCU - Schtasks Run Task On Demand - Rule","T1053"
"ESCU - Schtasks scheduling job on remote system - Rule","T1053.005"
"ESCU - Schtasks used for forcing a reboot - Rule","T1053.005"
"ESCU - Screensaver Event Trigger Execution - Rule","T1546.002"
"ESCU - Script Execution via WMI - Rule","T1047"
"ESCU - Sdclt UAC Bypass - Rule","T1548.002"
"ESCU - Sdelete Application Execution - Rule","T1070.004|T1485"
"ESCU - SearchProtocolHost with no Command Line with Network - Rule","T1055"
"ESCU - SecretDumps Offline NTDS Dumping Tool - Rule","T1003.003"
"ESCU - ServicePrincipalNames Discovery with PowerShell - Rule","T1558.003"
"ESCU - ServicePrincipalNames Discovery with SetSPN - Rule","T1558.003"
"ESCU - Services Escalate Exe - Rule","T1548"
"ESCU - Services LOLBAS Execution Process Spawn - Rule","T1543.003"
"ESCU - Set Default PowerShell Execution Policy To Unrestricted or Bypass - Rule","T1059.001"
"ESCU - Shai-Hulud 2 Exfiltration Artifact Files - Rule","T1074.001|T1195.002|T1552.001"
"ESCU - Shai-Hulud Workflow File Creation or Modification - Rule","T1195|T1554|T1574.006"
"ESCU - Shim Database File Creation - Rule","T1546.011"
"ESCU - Shim Database Installation With Suspicious Parameters - Rule","T1546.011"
"ESCU - Short Lived Scheduled Task - Rule","T1053.005"
"ESCU - Short Lived Windows Accounts - Rule","T1078.003|T1136.001"
"ESCU - SilentCleanup UAC Bypass - Rule","T1548.002"
"ESCU - Single Letter Process On Endpoint - Rule","T1204.002"
"ESCU - SLUI RunAs Elevated - Rule","T1548.002"
"ESCU - SLUI Spawning a Process - Rule","T1548.002"
"ESCU - Spoolsv Spawning Rundll32 - Rule","T1547.012"
"ESCU - Spoolsv Suspicious Loaded Modules - Rule","T1547.012"
"ESCU - Spoolsv Suspicious Process Access - Rule","T1068"
"ESCU - Spoolsv Writing a DLL - Rule","T1547.012"
"ESCU - Spoolsv Writing a DLL - Sysmon - Rule","T1547.012"
"ESCU - Sqlite Module In Temp Folder - Rule","T1005"
"ESCU - Steal or Forge Authentication Certificates Behavior Identified - Rule","T1649"
"ESCU - Sunburst Correlation DLL and Network Event - Rule","T1203"
"ESCU - Suspicious Computer Account Name Change - Rule","T1078.002"
"ESCU - Suspicious Copy on System32 - Rule","T1036.003"
"ESCU - Suspicious Curl Network Connection - Rule","T1105"
"ESCU - Suspicious DLLHost no Command Line Arguments - Rule","T1055"
"ESCU - Suspicious GPUpdate no Command Line Arguments - Rule","T1055"
"ESCU - Suspicious IcedID Rundll32 Cmdline - Rule","T1218.011"
"ESCU - Suspicious Image Creation In Appdata Folder - Rule","T1113"
"ESCU - Suspicious Kerberos Service Ticket Request - Rule","T1078.002"
"ESCU - Suspicious Linux Discovery Commands - Rule","T1059.004"
"ESCU - Suspicious microsoft workflow compiler rename - Rule","T1036.003|T1127"
"ESCU - Suspicious microsoft workflow compiler usage - Rule","T1127"
"ESCU - Suspicious msbuild path - Rule","T1036.003|T1127.001"
"ESCU - Suspicious MSBuild Rename - Rule","T1036.003|T1127.001"
"ESCU - Suspicious MSBuild Spawn - Rule","T1127.001"
"ESCU - Suspicious mshta child process - Rule","T1218.005"
"ESCU - Suspicious mshta spawn - Rule","T1218.005"
"ESCU - Suspicious PlistBuddy Usage - Rule","T1543.001"
"ESCU - Suspicious PlistBuddy Usage via OSquery - Rule","T1543.001"
"ESCU - Suspicious Process Executed From Container File - Rule","T1036.008|T1204.002"
"ESCU - Suspicious Reg exe Process - Rule","T1112"
"ESCU - Suspicious Regsvr32 Register Suspicious Path - Rule","T1218.010"
"ESCU - Suspicious Rundll32 dllregisterserver - Rule","T1218.011"
"ESCU - Suspicious Rundll32 no Command Line Arguments - Rule","T1218.011"
"ESCU - Suspicious Rundll32 PluginInit - Rule","T1218.011"
"ESCU - Suspicious Rundll32 StartW - Rule","T1218.011"
"ESCU - Suspicious Scheduled Task from Public Directory - Rule","T1053.005"
"ESCU - Suspicious SearchProtocolHost no Command Line Arguments - Rule","T1055"
"ESCU - Suspicious SQLite3 LSQuarantine Behavior - Rule","T1074"
"ESCU - Suspicious Ticket Granting Ticket Request - Rule","T1078.002"
"ESCU - Suspicious WAV file in Appdata Folder - Rule","T1113"
"ESCU - Suspicious wevtutil Usage - Rule","T1070.001"
"ESCU - Suspicious writes to windows Recycle Bin - Rule","T1036"
"ESCU - Svchost LOLBAS Execution Process Spawn - Rule","T1053.005"
"ESCU - System Info Gathering Using Dxdiag Application - Rule","T1592"
"ESCU - System Information Discovery Detection - Rule","T1082"
"ESCU - System Processes Run From Unexpected Locations - Rule","T1036.003"
"ESCU - System User Discovery With Query - Rule","T1033"
"ESCU - System User Discovery With Whoami - Rule","T1033"
"ESCU - Time Provider Persistence Registry - Rule","T1547.003"
"ESCU - Trickbot Named Pipe - Rule","T1055"
"ESCU - UAC Bypass MMC Load Unsigned Dll - Rule","T1218.014|T1548.002"
"ESCU - UAC Bypass With Colorui COM Object - Rule","T1218.003"
"ESCU - Uninstall App Using MsiExec - Rule","T1218.007"
"ESCU - Unknown Process Using The Kerberos Protocol - Rule","T1550"
"ESCU - Unload Sysmon Filter Driver - Rule","T1562.001"
"ESCU - Unloading AMSI via Reflection - Rule","T1059.001|T1562"
"ESCU - Unusual Number of Computer Service Tickets Requested - Rule","T1078"
"ESCU - Unusual Number of Kerberos Service Tickets Requested - Rule","T1558.003"
"ESCU - Unusual Number of Remote Endpoint Authentication Events - Rule","T1078"
"ESCU - User Discovery With Env Vars PowerShell - Rule","T1033"
"ESCU - User Discovery With Env Vars PowerShell Script Block - Rule","T1033"
"ESCU - USN Journal Deletion - Rule","T1070"
"ESCU - Vbscript Execution Using Wscript App - Rule","T1059.005"
"ESCU - Verclsid CLSID Execution - Rule","T1218.012"
"ESCU - WBAdmin Delete System Backups - Rule","T1490"
"ESCU - Wbemprox COM Object Execution - Rule","T1218.003"
"ESCU - Web or Application Server Spawning a Shell - Rule","T1133|T1190"
"ESCU - Web Servers Executing Suspicious Processes - Rule","T1082"
"ESCU - Wermgr Process Create Executable File - Rule","T1027"
"ESCU - Wermgr Process Spawned CMD Or Powershell Process - Rule","T1059"
"ESCU - Windows Access Token Manipulation SeDebugPrivilege - Rule","T1134.002"
"ESCU - Windows Access Token Manipulation Winlogon Duplicate Token Handle - Rule","T1134.001"
"ESCU - Windows Access Token Winlogon Duplicate Handle In Uncommon Path - Rule","T1134.001"
"ESCU - Windows Account Access Removal via Logoff Exec - Rule","T1059.001|T1531"
"ESCU - Windows Account Discovery for None Disable User Account - Rule","T1087.001"
"ESCU - Windows Account Discovery for Sam Account Name - Rule","T1087"
"ESCU - Windows Account Discovery With NetUser PreauthNotRequire - Rule","T1087"
"ESCU - Windows AD Abnormal Object Access Activity - Rule","T1087.002"
"ESCU - Windows AD add Self to Group - Rule","T1098"
"ESCU - Windows AD AdminSDHolder ACL Modified - Rule","T1546"
"ESCU - Windows AD Cross Domain SID History Addition - Rule","T1134.005"
"ESCU - Windows AD Dangerous Deny ACL Modification - Rule","T1222.001|T1484"
"ESCU - Windows AD Dangerous Group ACL Modification - Rule","T1222.001|T1484"
"ESCU - Windows AD Dangerous User ACL Modification - Rule","T1222.001|T1484"
"ESCU - Windows AD DCShadow Privileges ACL Addition - Rule","T1207|T1222.001|T1484"
"ESCU - Windows AD Domain Controller Audit Policy Disabled - Rule","T1562.001"
"ESCU - Windows AD Domain Controller Promotion - Rule","T1207"
"ESCU - Windows AD Domain Replication ACL Addition - Rule","T1484"
"ESCU - Windows AD Domain Root ACL Deletion - Rule","T1222.001|T1484"
"ESCU - Windows AD Domain Root ACL Modification - Rule","T1222.001|T1484"
"ESCU - Windows AD DSRM Account Changes - Rule","T1098"
"ESCU - Windows AD DSRM Password Reset - Rule","T1098"
"ESCU - Windows AD GPO Deleted - Rule","T1484.001|T1562.001"
"ESCU - Windows AD GPO Disabled - Rule","T1484.001|T1562.001"
"ESCU - Windows AD GPO New CSE Addition - Rule","T1222.001|T1484.001"
"ESCU - Windows AD Hidden OU Creation - Rule","T1222.001|T1484"
"ESCU - Windows AD Object Owner Updated - Rule","T1222.001|T1484"
"ESCU - Windows AD Privileged Account SID History Addition - Rule","T1134.005"
"ESCU - Windows AD Privileged Group Modification - Rule","T1098"
"ESCU - Windows AD Privileged Object Access Activity - Rule","T1087.002"
"ESCU - Windows AD Replication Request Initiated by User Account - Rule","T1003.006"
"ESCU - Windows AD Replication Request Initiated from Unsanctioned Location - Rule","T1003.006"
"ESCU - Windows AD Same Domain SID History Addition - Rule","T1134.005"
"ESCU - Windows AD Self DACL Assignment - Rule","T1098|T1484"
"ESCU - Windows AD ServicePrincipalName Added To Domain Account - Rule","T1098"
"ESCU - Windows AD Short Lived Domain Account ServicePrincipalName - Rule","T1098"
"ESCU - Windows AD Short Lived Domain Controller SPN Attribute - Rule","T1207"
"ESCU - Windows AD Short Lived Server Object - Rule","T1207"
"ESCU - Windows AD SID History Attribute Modified - Rule","T1134.005"
"ESCU - Windows AD Suspicious Attribute Modification - Rule","T1222.001|T1550"
"ESCU - Windows AdFind Exe - Rule","T1018"
"ESCU - Windows Admin Permission Discovery - Rule","T1069.001"
"ESCU - Windows Administrative Shares Accessed On Multiple Hosts - Rule","T1135"
"ESCU - Windows Admon Default Group Policy Object Modified - Rule","T1484.001"
"ESCU - Windows Admon Group Policy Object Created - Rule","T1484.001"
"ESCU - Windows Advanced Installer MSIX with AI_STUBS Execution - Rule","T1204.002|T1218|T1553.005"
"ESCU - Windows AI Platform DNS Query - Rule","T1071.004"
"ESCU - Windows Alternate DataStream - Base64 Content - Rule","T1564.004"
"ESCU - Windows Alternate DataStream - Executable Content - Rule","T1564.004"
"ESCU - Windows Alternate DataStream - Process Execution - Rule","T1564.004"
"ESCU - Windows Anonymous Pipe Activity - Rule","T1559"
"ESCU - Windows Apache Benchmark Binary - Rule","T1059"
"ESCU - Windows App Layer Protocol Qakbot NamedPipe - Rule","T1071"
"ESCU - Windows App Layer Protocol Wermgr Connect To NamedPipe - Rule","T1071"
"ESCU - Windows Application Layer Protocol RMS Radmin Tool Namedpipe - Rule","T1071"
"ESCU - Windows Application Whitelisting Bypass Attempt via Rundll32 - Rule","T1218.011"
"ESCU - Windows AppLocker Block Events - Rule","T1218"
"ESCU - Windows AppLocker Execution from Uncommon Locations - Rule","T1218"
"ESCU - Windows AppLocker Privilege Escalation via Unauthorized Bypass - Rule","T1218"
"ESCU - Windows AppLocker Rare Application Launch Detection - Rule","T1218"
"ESCU - Windows AppX Deployment Full Trust Package Installation - Rule","T1204.002|T1553.005"
"ESCU - Windows AppX Deployment Package Installation Success - Rule","T1204.002"
"ESCU - Windows AppX Deployment Unsigned Package Installation - Rule","T1204.002|T1553.005"
"ESCU - Windows Archive Collected Data via Powershell - Rule","T1560"
"ESCU - Windows Archive Collected Data via Rar - Rule","T1560.001"
"ESCU - Windows Archived Collected Data In TEMP Folder - Rule","T1560"
"ESCU - Windows Attempt To Stop Security Service - Rule","T1562.001"
"ESCU - Windows Audit Policy Auditing Option Disabled via Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Auditing Option Modified - Registry - Rule","T1547.014"
"ESCU - Windows Audit Policy Cleared via Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Disabled via Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Disabled via Legacy Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Excluded Category via Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Restored via Auditpol - Rule","T1562.002"
"ESCU - Windows Audit Policy Security Descriptor Tampering via Auditpol - Rule","T1562.002"
"ESCU - Windows AutoIt3 Execution - Rule","T1059"
"ESCU - Windows Autostart Execution LSASS Driver Registry Modification - Rule","T1547.008"
"ESCU - Windows Binary Proxy Execution Mavinject DLL Injection - Rule","T1218.013"
"ESCU - Windows BitLocker Suspicious Command Usage - Rule","T1486|T1490"
"ESCU - Windows BitLockerToGo Process Execution - Rule","T1218"
"ESCU - Windows BitLockerToGo with Network Activity - Rule","T1218"
"ESCU - Windows Boot or Logon Autostart Execution In Startup Folder - Rule","T1547.001"
"ESCU - Windows BootLoader Inventory - Rule","T1542.001"
"ESCU - Windows Browser Process Launched with Unusual Flags - Rule","T1185"
"ESCU - Windows Bypass UAC via Pkgmgr Tool - Rule","T1548.002"
"ESCU - Windows CAB File on Disk - Rule","T1566.001"
"ESCU - Windows Cabinet File Extraction Via Expand - Rule","T1105"
"ESCU - Windows Cached Domain Credentials Reg Query - Rule","T1003.005"
"ESCU - Windows Certutil Root Certificate Addition - Rule","T1587.003"
"ESCU - Windows Change File Association Command To Notepad - Rule","T1546.001"
"ESCU - Windows Chrome Auto-Update Disabled via Registry - Rule","T1185"
"ESCU - Windows Chrome Enable Extension Loading via Command-Line - Rule","T1185"
"ESCU - Windows Chrome Extension Allowed Registry Modification - Rule","T1185"
"ESCU - Windows Chromium Browser Launched with Small Window Size - Rule","T1497"
"ESCU - Windows Chromium Browser No Security Sandbox Process - Rule","T1497"
"ESCU - Windows Chromium Browser with Custom User Data Directory - Rule","T1497"
"ESCU - Windows Chromium process Launched with Disable Popup Blocking - Rule","T1497"
"ESCU - Windows Chromium Process Launched with Logging Disabled - Rule","T1497"
"ESCU - Windows Chromium Process Loaded Extension via Command-Line - Rule","T1185"
"ESCU - Windows Chromium Process with Disabled Extensions - Rule","T1497"
"ESCU - Windows Cisco Secure Endpoint Related Service Stopped - Rule","T1490"
